1615960057,3,1.00,4.21
1615988413,3,1.00,19.78
1615988485,3,1.00,33.94
1615988880,3,1.00,112.23
1615989337,3,1.00,33.98
1615990477,3,1.00,47.73
1615990867,3,1.00,85.67
1615991055,3,1.00,38.91
1615992574,3,1.00,30.58
1615992897,3,1.00,49.85
1615992948,3,1.00,18.39
1615993097,3,1.00,20.83
1615993124,3,1.00,5.53
1615993281,3,1.00,33.41
1615993879,3,1.00,7.71
1615993888,3,1.00,3.45
1615993952,3,1.00,6.69
1615993961,3,1.00,17.15
1615994229,3,1.00,17.94
1615994250,3,1.00,12.75
1615994567,3,1.00,63.41
1615994824,3,1.00,12.54
1615996070,3,1.00,10.81
1615996088,3,1.00,15.90
1615996222,3,1.00,12.53
1615996244,3,1.00,8.52
1615996631,3,1.00,86.03
1615996820,3,1.00,4.91
1615996826,3,1.00,18.31
1615997262,3,1.00,46.30
1615998240,3,1.00,35.63
1615998314,3,1.00,32.67
1615998349,3,1.00,33.16
1615998382,3,1.00,8.80
1615998620,3,1.00,6.51
1615998859,3,1.00,51.51
1615998937,3,1.00,63.42
1615999002,3,1.00,118.36
1615999704,3,1.00,18.58
1616000193,3,1.00,38.17
1616001510,3,1.00,86.24
1616002465,3,1.00,16.93
1616002483,3,1.00,4.52
1616002488,3,1.00,3.65
1616002831,3,1.00,132.57
1616003248,3,1.00,65.99
1616004412,3,1.00,67.25
1616005296,3,1.00,127.37
1616005550,3,1.00,269.38
1616006583,3,1.00,24.21
1616006611,3,1.00,108.79
1616006733,3,1.00,60.93
1616006898,3,1.00,29.25
1616006992,3,0.82,8.78
1616007017,3,1.00,176.67
1616007227,3,1.00,172.22
1616008432,3,1.00,10.13
1616008858,3,1.00,106.05
1616009127,3,1.00,46.77
1616009211,3,1.00,137.08
1616010259,3,1.00,17.00
1616010287,3,1.00,6.92
1616010302,3,1.00,34.07
1616010347,3,1.00,31.46
1616010391,3,1.00,33.86
1616010435,3,1.00,7.43
1616010519,3,1.00,129.28
1616011019,3,1.00,24.98
1616011308,3,1.00,14.41
1616011406,3,1.00,119.45
1616011819,3,1.00,16.94
1616011838,3,1.00,18.18
1616012113,3,1.00,133.20
1616012374,3,1.00,245.10
1616013108,3,1.00,210.86
1616013330,3,1.00,4.36
1616013340,3,1.00,10.18
1616013362,3,1.00,164.92
1616014468,3,1.00,121.02
1616014598,3,0.83,15.13
1616015074,3,1.00,5.79
1616015091,3,1.00,5.06
1616015099,3,1.00,9.50
1616015542,3,1.00,129.69
1616015920,3,1.00,5.99
1616015933,3,1.00,34.19
1616016008,3,1.00,182.70
1616016264,3,1.00,49.96
1616016356,3,1.00,116.77
1616017106,3,1.00,232.64
1616017355,3,1.00,10.27
1616017403,3,1.00,10.26
1616018152,3,1.00,4.00
1616018226,3,1.00,42.96
1616019016,3,1.00,129.26
1616019175,3,1.00,125.71
1616019389,3,1.00,7.36
1616021371,3,1.00,52.95
1616021425,3,1.00,72.58
1616021960,3,1.00,15.02
1616021985,3,1.00,9.94
1616023488,3,1.00,9.77
1616023970,3,1.00,127.57
1616024628,3,1.00,145.61
1616024778,3,1.00,8.51
1616025086,3,1.00,8.77
1616025892,3,1.00,6.36
1616025919,3,1.00,13.39
1616025943,3,1.00,53.04
1616026156,3,1.00,63.44
1616026663,3,1.00,27.33
1616026787,3,1.00,70.25
1616027223,3,1.00,3.09
1616028079,3,1.00,69.42
1616028155,3,1.00,18.90
1616028183,3,1.00,21.40
1616028428,3,1.00,50.21
1616028485,3,1.00,3.78
1616028493,3,1.00,39.18
1616028726,3,1.00,104.00
1616028835,3,1.00,12.00
1616028855,3,1.00,22.08
1616028878,3,1.00,4.77
1616028883,3,1.00,7.75
1616028901,3,1.00,10.41
1616028915,3,1.00,13.34
1616028929,3,1.00,21.13
1616029763,3,1.00,173.39
1616029960,3,1.00,19.11
1616030016,3,1.00,5.86
1616030025,3,1.00,4.87
